NYANGA EAST, NYANGA-EAST
KOUE BOKKEVELD, KOUE-BOKKEVELD
OLD CROSSROADS, OLD-CROSSROADS
OLD CROSS RDS, OLD-CROSSROADS
OLD CROSS RD, OLD-CROSSROADS
MITHCHELLS PLAIN, MITCHELLS-PLAIN
CAPRICORN SQUARE, CAPRICORN-SQUARE
ILLINGE LETHU, ILLINGE-LETHU
BROWNS FARM, BROWNS-FARM
TOWN TWO, TOWN-TWO
DIE BERG, DIE-BERG
DAL JOSAFAT, DAL-JOSAFAT
ASLA PARK, ASLA-PARK
BEAUFORT WES, BEAUFORT-WEST
KAAPSTAD, CAPE-TOWN
KWA MANDLENKOSI, KWA-MANDLENKOSI
KAYAMANDI INFORMAL, KAYAMANDI-INFORMAL
PORT ELIZABETH, PORT-ELIZABETH
N2 GATEWAY, N2-GATEWAY
EPPING FOREST, EPPING FOREST
SUIDER PAARL, SUIDER-PAARL
KWASA KWASA, KWASA-KWASA
VAN WYKSVLEI, VAN-WYKSVLEI
ELSIES RIVIER, ELSIES-RIVER
BRAK RIVIER, BRAKRIVIER
SEA WIND, SEAWINDS
ELSIESRIVIER, ELSIES-RIVER
PRINS ALBERT, PRINS-ALBERT
KORREKTIEWE DIENSTE, KORREKTIEWE-DIENSTE
WHITE LOCATION, WHITE-LOCATION
WHITE CITY, WHITE-CITY
WHITELOCATION, WHITE-LOCATION
WHITE LOC, WHITE-LOCATION
CLARKES EST, CLARKES-ESTATE
CLARKES ESTATE, CLARKES-ESTATE
FASE 5, FASE-5
MELTON ROSE, MELTONROSE
INDUSTRIAL AREA, INDUSTRIAL-AREA
INFANTRY SCHOOL, INFANTRY-SCHOOL
M/PLAIN, MITCHELLS-PLAIN
GROOT DRAKENSTEIN, GROOT-DRAKENSTEIN
SCHAAP KRAAL, SCHAAPKRAAL
CROSS ROADS, CROSSROADS
ASANDA VILLAGE, ASANDA-VILLAGE
WEST BANK, WEST-BANK
BROWN FARM, BROWNS-FARMS
BROWNS FARMS, BROWNS-FARMS
BROWN FARMS, BROWNS-FARMS
WINNIE MANDELA, WINNIE-MANDELA,
CAPE TOWN, CAPE-TOWN
CAPETOWN, CAPE-TOWN
CAPRICORN, VRYGROND
CAPRICORN SQUARE, VRYGROND
